date,portfolio_value,nav,gross_return,cost,daily_return,one_way_turnover,two_way_traded,cash_target
2015-01-05,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-06,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-07,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-08,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-09,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-12,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-13,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-14,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-15,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-16,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-19,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-20,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-21,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-22,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-23,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-26,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-27,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-28,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-29,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-01-30,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-02,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-03,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-04,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-05,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-06,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-09,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-10,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-11,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-12,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-13,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-16,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-17,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-25,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-26,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-02-27,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-02,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-03,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-04,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-05,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-06,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-09,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-10,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-11,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-12,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-13,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-16,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-17,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-18,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-19,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-20,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-23,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-24,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-25,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-26,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-27,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-30,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-03-31,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2015-04-01,99980.0,0.9998,0.0,0.0002,-0.0002,1.0,1.0,False
2015-04-02,100898.96987529774,1.0089896987529774,0.009191537060389554,0.0,0.009191537060389554,0.0,0.0,False
2015-04-03,101939.12727991136,1.0193912727991137,0.010308900139408661,0.0,0.010308900139408661,0.0,0.0,False
2015-04-07,104696.67730845098,1.0469667730845098,0.027050947973762285,0.0,0.027050947973762285,0.0,0.0,False
2015-04-08,103876.1704329929,1.038761704329929,-0.00783699059561127,0.0,-0.00783699059561127,0.0,0.0,False
2015-04-09,102815.40228435911,1.028154022843591,-0.010211852672389943,0.0,-0.010211852672389943,0.0,0.0,False
2015-04-10,106021.91245860144,1.0602191245860144,0.03118706052789666,0.0,0.03118706052789666,0.0,0.0,False
2015-04-13,109488.59779556554,1.0948859779556555,0.032697819314641774,0.0,0.032697819314641774,0.0,0.0,False
2015-04-14,109814.45671757615,1.0981445671757615,0.0029761904761904656,0.0,0.0029761904761904656,0.0,0.0,False
